n_pairs,covered_correct,missing_correct,covered_accuracy,missing_accuracy,difference,covered_only,missing_only,discordant,mcnemar_exact_p,bootstrap_ci_low,bootstrap_ci_high,model,p31_label,property
14,1,2,0.07142857142857142,0.14285714285714285,-0.07142857142857142,1,2,3,1.0,-0.2857142857142857,0.14285714285714285,gemini-3.6-flash,lake,P2044
10,5,4,0.5,0.4,0.09999999999999998,3,2,5,1.0,-0.3,0.5,gemini-3.6-flash,mountain,P131
24,3,4,0.125,0.16666666666666666,-0.04166666666666666,1,2,3,1.0,-0.16666666666666666,0.08333333333333333,gemini-3.6-flash,river,P2044
12,11,11,0.9166666666666666,0.9166666666666666,0.0,1,1,2,1.0,-0.25,0.25,gemini-3.6-flash,sports season,P1132
22,21,20,0.9545454545454546,0.9090909090909091,0.045454545454545525,2,1,3,1.0,-0.09090909090909091,0.18181818181818182,gemini-3.6-flash,sports season,P3450
10,9,8,0.9,0.8,0.09999999999999998,2,1,3,1.0,-0.2,0.4,gemini-3.6-flash,sports season,P580
30,29,29,0.9666666666666667,0.9666666666666667,0.0,1,1,2,1.0,-0.1,0.1,gemini-3.6-flash,sports season,P641
21,5,4,0.23809523809523808,0.19047619047619047,0.047619047619047616,4,3,7,1.0,-0.19047619047619047,0.2857142857142857,gemini-3.6-flash,village of Kazakhstan,P131
14,5,0,0.35714285714285715,0.0,0.35714285714285715,5,0,5,0.0625,0.14285714285714285,0.6428571428571429,gpt-5.6-terra,lake,P2044
10,4,3,0.4,0.3,0.10000000000000003,4,3,7,1.0,-0.4,0.6,gpt-5.6-terra,mountain,P131
24,1,2,0.041666666666666664,0.08333333333333333,-0.041666666666666664,1,2,3,1.0,-0.16666666666666666,0.08333333333333333,gpt-5.6-terra,river,P2044
12,5,9,0.4166666666666667,0.75,-0.3333333333333333,0,4,4,0.125,-0.5833333333333334,-0.08333333333333333,gpt-5.6-terra,sports season,P1132
22,21,20,0.9545454545454546,0.9090909090909091,0.045454545454545525,2,1,3,1.0,-0.09090909090909091,0.22727272727272727,gpt-5.6-terra,sports season,P3450
10,2,6,0.2,0.6,-0.39999999999999997,1,5,6,0.21875,-0.8,0.0,gpt-5.6-terra,sports season,P580
30,27,28,0.9,0.9333333333333333,-0.033333333333333326,2,3,5,1.0,-0.16666666666666666,0.1,gpt-5.6-terra,sports season,P641
21,3,1,0.14285714285714285,0.047619047619047616,0.09523809523809523,3,1,4,0.625,-0.09523809523809523,0.2857142857142857,gpt-5.6-terra,village of Kazakhstan,P131
