qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q1009230,1,Q6581097,Q6581097,Q6581097,Male
Q1036808,1,Q6581097,Q6581097,Q6581097,Male
Q1045853,1,Q6581097,Q6581097,Q6581097,Male
Q1045973,1,Q6581097,Q6581097,Q6581097,Male
Q1045997,1,Q6581097,Q6581097,Q6581097,Male
Q1046003,1,Q6581097,Q6581097,Q6581097,Male
Q1046009,1,Q6581097,Q6581097,Q6581097,Male
Q1046021,1,Q6581097,Q6581097,Q6581097,Male
Q1046192,1,Q6581097,Q6581097,Q6581097,Male
Q1046276,1,Q6581097,Q6581097,Q6581097,Male
Q1046297,1,Q6581097,Q6581097,Q6581097,Male
Q1046306,1,Q6581097,Q6581097,Q6581097,Male
Q1046313,1,Q6581072,Q6581072,Q6581072,Female
Q1047017,1,Q6581097,Q6581097,Q6581097,Male
Q1047319,1,Q6581097,Q6581097,Q6581097,Male
Q1047836,0,Q6581097,Q6581097,Q6581097,Male
Q1048743,1,Q6581097,Q6581097,Q6581097,Male
Q1058378,1,Q6581097,Q6581097,Q6581097,Male
Q1072565,1,Q6581097,Q6581097,Q6581097,Male
Q1074511,1,Q6581097,Q6581097,Q6581097,Male
Q1076093,1,Q6581072,Q6581072,Q6581072,Female
Q1087691,1,Q6581097,Q6581097,Q6581097,Male
Q1087714,1,Q6581097,Q6581097,Q6581097,Male
Q1088352,1,Q6581072,Q6581072,Q6581072,Female
Q1100579,1,Q6581097,Q6581097,Q6581097,Male
Q1106371,1,Q6581097,Q6581097,Q6581097,Male
Q1109100,0,Q6581097,Q6581097,Q6581097,Male
Q1114554,0,Q6581072,Q6581072,Q6581072,Female
Q1119664,0,Q6581097,Q6581097,Q6581097,Male
Q1150775,1,Q6581097,Q6581097,Q6581097,Male
Q1152935,1,Q6581097,Q6581097,Q6581097,Male
Q1163980,0,Q6581097,Q6581097,Q6581097,Male
Q1166400,1,Q6581097,Q6581097,Q6581097,Male
Q1173026,1,Q6581097,Q6581097,Q6581097,Male
Q1187035,0,Q6581097,Q6581097,Q6581097,Male
Q1187554,0,Q6581097,Q6581097,Q6581097,Male
Q1187703,0,Q6581097,Q6581097,Q6581097,Male
Q1187706,0,Q6581097,Q6581097,Q6581097,Male
Q1195698,0,Q6581097,Q6581097,Q6581097,Male
Q1226580,1,Q6581097,Q6581097,Q6581097,Male
Q1228296,0,Q6581072,Q6581072,Q6581072,Female
Q1229829,1,Q6581097,Q6581097,Q6581097,Male
Q1232383,0,Q6581097,Q6581097,Q6581097,Male
Q1232460,1,Q6581097,Q6581097,Q6581097,Male
Q1232640,0,Q6581097,Q6581097,Q6581097,Male
Q1232649,0,Q6581097,Q6581097,Q6581097,Male
Q1232689,1,Q6581097,Q6581097,Q6581097,Male
Q1234192,0,Q6581097,Q6581097,Q6581097,Male
Q1235398,1,Q6581097,Q6581097,Q6581097,Male
Q1251008,1,Q6581097,Q6581097,Q6581097,Male
Q1255869,0,Q6581097,Q6581097,Q6581097,Male
Q1256541,1,Q6581097,Q6581097,Q6581097,Male
Q1266811,1,Q6581097,Q6581097,Q6581097,Male
Q1267689,0,Q6581097,Q6581097,Q6581097,Male
Q1279733,0,Q6581097,Q6581097,Q6581097,Male
Q1284671,0,Q6581097,Q6581097,Q6581097,Male
Q1302590,0,Q6581072,Q6581072,Q6581072,Female
Q1308418,0,Q6581097,Q6581097,Q6581097,Male
Q1319967,0,Q6581097,Q6581097,Q6581097,Male
Q1327898,0,Q6581072,Q6581072,Q6581072,Female
Q1333027,0,Q6581072,Q6581072,Q6581072,Female
Q1349090,0,Q6581097,Q6581097,Q6581097,Male
Q1355800,0,Q6581097,Q6581097,Q6581097,Male
Q1355980,1,Q6581097,Q6581097,Q6581097,Male
Q1363076,0,Q6581097,Q6581097,Q6581097,Male
Q1364482,0,Q6581097,Q6581097,Q6581097,Male
Q1365223,0,Q6581097,Q6581097,Q6581097,Male
Q1365549,1,Q6581097,Q6581097,Q6581097,Male
Q1371557,0,Q6581097,Q6581097,Q6581097,Male
Q1377512,1,Q6581097,Q6581097,Q6581097,Male
Q1377525,1,Q6581097,Q6581097,Q6581097,Male
Q1377572,1,Q6581097,Q6581097,Q6581097,Male
Q1377697,1,Q6581097,Q6581097,Q6581097,Male
Q1377739,1,Q6581097,Q6581097,Q6581097,Male
Q1377798,1,Q6581097,Q6581097,Q6581097,Male
Q1378405,1,Q6581097,Q6581097,Q6581097,Male
Q1379417,0,Q6581097,Q6581097,Q6581097,Male
Q1383931,1,Q6581097,Q6581097,Q6581097,Male
Q1384003,1,Q6581097,Q6581097,Q6581097,Male
Q1385647,0,Q6581097,Q6581097,Q6581097,Male
Q1386374,0,Q6581097,Q6581097,Q6581097,Male
Q1386531,0,Q6581097,Q6581097,Q6581097,Male
Q1389063,0,Q6581097,Q6581097,Q6581097,Male
Q1389422,0,Q6581097,Q6581097,Q6581097,Male
Q1389615,1,Q6581072,Q6581072,Q6581072,Female
Q1390128,1,Q6581097,Q6581097,Q6581097,Male
Q1392566,0,Q6581097,Q6581097,Q6581097,Male
Q1393082,0,Q6581097,Q6581097,Q6581097,Male
Q1393406,0,Q6581097,Q6581097,Q6581097,Male
Q1393528,0,Q6581097,Q6581097,Q6581097,Male
Q1397351,0,Q6581072,Q6581072,Q6581072,Female
Q1398049,0,Q6581097,Q6581097,Q6581097,Male
Q1398123,1,Q6581097,Q6581097,Q6581097,Male
Q1400186,1,Q6581097,Q6581097,Q6581097,Male
Q1400689,0,Q6581097,Q6581097,Q6581097,Male
Q1429004,1,Q6581072,Q6581072,Q6581072,Female
Q1432108,1,Q6581097,Q6581097,Q6581097,Male
Q1436649,0,Q6581072,Q6581072,Q6581072,Female
Q1437015,1,Q6581097,Q6581097,Q6581097,Male
Q1437193,0,Q6581097,Q6581097,Q6581097,Male
Q77450,1,Q6581097,Q6581097,Q6581097,Male
Q94394,1,Q6581097,Q6581097,Q6581097,Male
Q112047,0,Q6581072,Q6581072,Q6581072,Female
Q115204,1,Q6581097,Q6581097,Q6581097,Male
Q115212,1,Q6581097,Q6581097,Q6581097,Male
Q115303,1,Q6581097,Q6581097,Q6581097,Male
Q127350,1,Q6581097,Q6581097,Q6581097,Male
Q128239,1,Q6581097,Q6581097,Q6581097,Male
Q128357,0,Q6581097,Q6581097,Q6581097,Male
Q132083,1,Q6581097,Q6581097,Q6581097,Male
Q164370,0,Q6581097,Q6581097,Q6581097,Male
Q166846,1,Q6581097,Q6581097,Q6581097,Male
Q179190,0,Q6581097,Q6581097,Q6581097,Male
Q181366,1,Q6581097,Q6581097,Q6581097,Male
Q185782,0,Q6581097,Q6581097,Q6581097,Male
Q200881,1,Q6581097,Q6581097,Q6581097,Male
Q208876,0,Q6581072,Q6581072,Q6581072,Female
Q209639,1,Q6581097,Q6581097,Q6581097,Male
Q222747,0,Q6581097,Q6581097,Q6581097,Male
Q224790,1,Q6581097,Q6581097,Q6581097,Male
Q229073,1,Q6581072,Q6581072,Q6581072,Female
Q230881,0,Q6581072,Q6581072,Q6581072,Female
Q232613,0,Q6581072,Q6581072,Q6581072,Female
Q232764,1,Q6581072,Q6581072,Q6581072,Female
Q233231,0,Q6581072,Q6581072,Q6581072,Female
Q234831,1,Q6581072,Q6581072,Q6581072,Female
Q240307,0,Q6581097,Q6581097,Q6581097,Male
Q252769,1,Q6581097,Q6581097,Q6581097,Male
Q252860,1,Q6581097,Q6581097,Q6581097,Male
Q254132,1,Q6581072,Q6581072,Q6581072,Female
Q254220,1,Q6581072,Q6581072,Q6581072,Female
Q254313,1,Q6581072,Q6581072,Q6581072,Female
Q254415,1,Q6581097,Q6581097,Q6581097,Male
Q256141,1,Q6581097,Q6581097,Q6581097,Male
Q260599,0,Q6581097,Q6581097,Q6581097,Male
Q264664,0,Q6581097,Q6581097,Q6581097,Male
Q272543,0,Q6581072,Q6581072,Q6581072,Female
Q272817,0,Q6581072,Q6581072,Q6581072,Female
