qid,has_kkwiki,p21,p21_group
Q1009230,1,Q6581097,Q6581097
Q1036808,1,Q6581097,Q6581097
Q1045853,1,Q6581097,Q6581097
Q1045973,1,Q6581097,Q6581097
Q1045997,1,Q6581097,Q6581097
Q1046003,1,Q6581097,Q6581097
Q1046009,1,Q6581097,Q6581097
Q1046021,1,Q6581097,Q6581097
Q1046192,1,Q6581097,Q6581097
Q1046276,1,Q6581097,Q6581097
Q1046297,1,Q6581097,Q6581097
Q1046306,1,Q6581097,Q6581097
Q1046313,1,Q6581072,Q6581072
Q1047017,1,Q6581097,Q6581097
Q1047319,1,Q6581097,Q6581097
Q1047836,0,Q6581097,Q6581097
Q1048743,1,Q6581097,Q6581097
Q1058378,1,Q6581097,Q6581097
Q1072565,1,Q6581097,Q6581097
Q1074511,1,Q6581097,Q6581097
Q1076093,1,Q6581072,Q6581072
Q1087691,1,Q6581097,Q6581097
Q1087714,1,Q6581097,Q6581097
Q1088352,1,Q6581072,Q6581072
Q1100579,1,Q6581097,Q6581097
Q1106371,1,Q6581097,Q6581097
Q1109100,0,Q6581097,Q6581097
Q1114554,0,Q6581072,Q6581072
Q1119664,0,Q6581097,Q6581097
Q1150775,1,Q6581097,Q6581097
Q1152935,1,Q6581097,Q6581097
Q1163980,0,Q6581097,Q6581097
Q1166400,1,Q6581097,Q6581097
Q1173026,1,Q6581097,Q6581097
Q1187035,0,Q6581097,Q6581097
Q1187554,0,Q6581097,Q6581097
Q1187703,0,Q6581097,Q6581097
Q1187706,0,Q6581097,Q6581097
Q1195698,0,Q6581097,Q6581097
Q1226580,1,Q6581097,Q6581097
Q1228296,0,Q6581072,Q6581072
Q1229829,1,Q6581097,Q6581097
Q1232383,0,Q6581097,Q6581097
Q1232460,1,Q6581097,Q6581097
Q1232640,0,Q6581097,Q6581097
Q1232649,0,Q6581097,Q6581097
Q1232689,1,Q6581097,Q6581097
Q1234192,0,Q6581097,Q6581097
Q1235398,1,Q6581097,Q6581097
Q1251008,1,Q6581097,Q6581097
Q1255869,0,Q6581097,Q6581097
Q1256541,1,Q6581097,Q6581097
Q1266811,1,Q6581097,Q6581097
Q1267689,0,Q6581097,Q6581097
Q1279733,0,Q6581097,Q6581097
Q1284671,0,Q6581097,Q6581097
Q1302590,0,Q6581072,Q6581072
Q1308418,0,Q6581097,Q6581097
Q1319967,0,Q6581097,Q6581097
Q1327898,0,Q6581072,Q6581072
Q1333027,0,Q6581072,Q6581072
Q1349090,0,Q6581097,Q6581097
Q1355800,0,Q6581097,Q6581097
Q1355980,1,Q6581097,Q6581097
Q1363076,0,Q6581097,Q6581097
Q1364482,0,Q6581097,Q6581097
Q1365223,0,Q6581097,Q6581097
Q1365549,1,Q6581097,Q6581097
Q1371557,0,Q6581097,Q6581097
Q1377512,1,Q6581097,Q6581097
Q1377525,1,Q6581097,Q6581097
Q1377572,1,Q6581097,Q6581097
Q1377697,1,Q6581097,Q6581097
Q1377739,1,Q6581097,Q6581097
Q1377798,1,Q6581097,Q6581097
Q1378405,1,Q6581097,Q6581097
Q1379417,0,Q6581097,Q6581097
Q1383931,1,Q6581097,Q6581097
Q1384003,1,Q6581097,Q6581097
Q1385647,0,Q6581097,Q6581097
Q1386374,0,Q6581097,Q6581097
Q1386531,0,Q6581097,Q6581097
Q1389063,0,Q6581097,Q6581097
Q1389422,0,Q6581097,Q6581097
Q1389615,1,Q6581072,Q6581072
Q1390128,1,Q6581097,Q6581097
Q1392566,0,Q6581097,Q6581097
Q1393082,0,Q6581097,Q6581097
Q1393406,0,Q6581097,Q6581097
Q1393528,0,Q6581097,Q6581097
Q1397351,0,Q6581072,Q6581072
Q1398049,0,Q6581097,Q6581097
Q1398123,1,Q6581097,Q6581097
Q1400186,1,Q6581097,Q6581097
Q1400689,0,Q6581097,Q6581097
Q1429004,1,Q6581072,Q6581072
Q1432108,1,Q6581097,Q6581097
Q1436649,0,Q6581072,Q6581072
Q1437015,1,Q6581097,Q6581097
Q1437193,0,Q6581097,Q6581097
Q77450,1,Q6581097,Q6581097
Q94394,1,Q6581097,Q6581097
Q112047,0,Q6581072,Q6581072
Q115204,1,Q6581097,Q6581097
Q115212,1,Q6581097,Q6581097
Q115303,1,Q6581097,Q6581097
Q127350,1,Q6581097,Q6581097
Q128239,1,Q6581097,Q6581097
Q128357,0,Q6581097,Q6581097
Q132083,1,Q6581097,Q6581097
Q164370,0,Q6581097,Q6581097
Q166846,1,Q6581097,Q6581097
Q179190,0,Q6581097,Q6581097
Q181366,1,Q6581097,Q6581097
Q185782,0,Q6581097,Q6581097
Q200881,1,Q6581097,Q6581097
Q208876,0,Q6581072,Q6581072
Q209639,1,Q6581097,Q6581097
Q222747,0,Q6581097,Q6581097
Q224790,1,Q6581097,Q6581097
Q229073,1,Q6581072,Q6581072
Q230881,0,Q6581072,Q6581072
Q232613,0,Q6581072,Q6581072
Q232764,1,Q6581072,Q6581072
Q233231,0,Q6581072,Q6581072
Q234831,1,Q6581072,Q6581072
Q240307,0,Q6581097,Q6581097
Q252769,1,Q6581097,Q6581097
Q252860,1,Q6581097,Q6581097
Q254132,1,Q6581072,Q6581072
Q254220,1,Q6581072,Q6581072
Q254313,1,Q6581072,Q6581072
Q254415,1,Q6581097,Q6581097
Q256141,1,Q6581097,Q6581097
Q260599,0,Q6581097,Q6581097
Q264664,0,Q6581097,Q6581097
Q272543,0,Q6581072,Q6581072
Q272817,0,Q6581072,Q6581072
Q275299,0,Q6581097,Q6581097
Q275833,1,Q6581097,Q6581097
Q277506,1,Q6581097,Q6581097
Q285823,1,Q6581097,Q6581097
Q286961,1,Q6581097,Q6581097
Q291857,1,Q6581072,Q6581072
Q292930,1,Q6581072,Q6581072
Q295991,1,Q6581097,Q6581097
Q324950,1,Q6581097,Q6581097
Q325063,1,Q6581097,Q6581097
Q327205,1,Q6581097,Q6581097
Q338811,1,Q6581097,Q6581097
Q340559,1,Q6581097,Q6581097
Q340561,1,Q6581097,Q6581097
Q344854,1,Q6581097,Q6581097
Q357131,1,Q6581097,Q6581097
Q357241,1,Q6581097,Q6581097
Q358552,1,Q6581097,Q6581097
Q361798,0,Q6581097,Q6581097
Q366412,1,Q6581097,Q6581097
Q367146,1,Q6581097,Q6581097
Q370989,0,Q6581097,Q6581097
Q374837,1,Q6581097,Q6581097
Q375085,1,Q6581097,Q6581097
Q375521,0,Q6581097,Q6581097
Q376532,1,Q6581072,Q6581072
Q377012,0,Q6581097,Q6581097
Q380247,1,Q6581097,Q6581097
Q380254,1,Q6581097,Q6581097
Q382518,1,Q6581097,Q6581097
Q382710,0,Q6581097,Q6581097
Q390913,1,Q6581097,Q6581097
Q417490,1,Q6581097,Q6581097
Q429155,0,Q6581097,Q6581097
Q430283,0,Q6581097,Q6581097
Q432015,1,Q6581097,Q6581097
Q433416,0,Q6581097,Q6581097
Q435078,1,Q6581097,Q6581097
Q435303,1,Q6581097,Q6581097
