p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q1002697,1,1,0,100.0,0,0,0,,,,
Q100282728,1,1,0,100.0,0,0,0,,,,
Q1003207,2,0,2,0.0,1,0,0,1.5,photovoltaic power station,Күн Электр Стансасы,Фотоэлектрическая солнечная электростанция
Q100773131,3,3,0,100.0,0,0,0,,,,
Q100786919,2,0,2,0.0,2,2,2,10.5,Almaty Open,Almaty Open,Открытый чемпионат Алма-Аты по теннису
Q100900880,1,1,0,100.0,0,0,0,,,,
Q101401,1,1,0,100.0,0,0,0,,,,
Q102421356,1,0,1,0.0,0,0,0,1.0,national pavillon,national pavillon,national pavillon
Q102496,5,0,5,0.0,1,0,0,1.2,parish,parish,церковный приход
Q1029418,1,1,0,100.0,0,0,0,,,,
Q10313934,3,0,3,0.0,1,0,0,1.67,intermittent lake,intermittent lake,сезонное озеро
Q10354598,21,21,0,100.0,0,0,0,,,,
Q10379048,1,0,1,0.0,0,0,0,1.0,health technology,health technology,санитарные технологии
Q104179424,3,0,3,0.0,3,3,1,8.0,national ice hockey team,national ice hockey team,национальная сборная по хоккею с шайбой
Q104666804,2,0,2,0.0,1,1,0,5.0,rail transport by country or region,rail transport by country or region,железнодорожный транспорт по стране или региону
Q1047180,1,1,0,100.0,0,0,0,,,,
Q1047879,1,1,0,100.0,0,0,0,,,,
Q1049757,3,3,0,100.0,0,0,0,,,,
Q10517054,2,1,1,50.0,0,0,0,1.0,handball team,handball team,гандбольная команда
Q105390172,1,0,1,0.0,1,1,1,15.0,Roman Catholic metropolitan archdiocese,Roman Catholic metropolitan archdiocese,римско-католическая митрополия-архиепископия
Q105543609,1,1,0,100.0,0,0,0,,,,
Q1057026,1,0,1,0.0,1,0,0,2.0,cargo airline,cargo airline,грузовая авиакомпания
Q105723968,1,1,0,100.0,0,0,0,,,,
Q105758208,1,1,0,100.0,0,0,0,,,,
Q105758271,1,0,1,0.0,1,1,1,13.0,multilateral development bank,multilateral development bank,многосторонний банк развития
Q105897950,1,0,1,0.0,1,1,1,12.0,agriculture by country or territory,agriculture by country or territory,сельское хозяйство на территории
Q105985,1,0,1,0.0,1,0,0,2.0,judiciary,Сот билігі,судебная власть
Q1060409,1,0,1,0.0,0,0,0,1.0,honor guard,honor guard,часовой
Q1060829,6,6,0,100.0,0,0,0,,,,
Q1061151,1,1,0,100.0,0,0,0,,,,
Q106123,1,0,1,0.0,1,1,1,18.0,international E-road network,international E-road network,европейский автомобильный маршрут
Q1061648,1,1,0,100.0,0,0,0,,,,
Q10624527,2,1,1,50.0,0,0,0,1.0,biographical museum,biographical museum,персональный музей
Q106317256,1,0,1,0.0,0,0,0,1.0,nuclear arsenal,nuclear arsenal,ядерный арсенал
Q106861159,1,0,1,0.0,1,0,0,4.0,national road cycling championships - ITT,national road cycling championships - ITT,Национальные чемпионаты по шоссейному велоспорту - индивидуальные гонки
Q1068842,1,1,0,100.0,0,0,0,,,,
Q106978510,1,0,1,0.0,1,0,0,2.0,international rail transit service,international rail transit service,international rail transit service
Q107099245,2,2,0,100.0,0,0,0,,,,
Q10713454,2,2,0,100.0,0,0,0,,,,
Q1072326,2,0,2,0.0,1,0,0,1.5,summit,Саммит,саммит
Q10729872,1,1,0,100.0,0,0,0,,,,
Q107357104,2,1,1,50.0,1,1,1,12.0,type of dance,type of dance,тип танца
Q107359024,1,0,1,0.0,0,0,0,1.0,class of election,class of election,тип выборов
Q107425,1,1,0,100.0,0,0,0,,,,
Q107637871,1,0,1,0.0,1,1,1,27.0,transboundary site,transboundary site,transboundary site
Q1076426,1,1,0,100.0,0,0,0,,,,
Q1076486,4,1,3,25.0,2,1,0,4.0,sports venue,спорт ғимараттары,спортивное сооружение
Q107679,2,0,2,0.0,0,0,0,1.0,cliff,Клиф,клиф
Q1078286,1,0,1,0.0,0,0,0,1.0,military band,military band,военный оркестр
Q1079023,2,2,0,100.0,0,0,0,,,,
Q1081138,3,1,2,33.33,1,0,0,2.5,historic site,historic site,памятник истории
Q108178728,1,1,0,100.0,0,0,0,,,,
Q10832530,1,1,0,100.0,0,0,0,,,,
Q108395614,2,1,1,50.0,0,0,0,1.0,volleyball club,volleyball club,волейбольный клуб
Q108436459,1,0,1,0.0,1,1,1,12.0,dance by ethnic group,dance by ethnic group,танец по этнической группе
Q10855061,1,1,0,100.0,0,0,0,,,,
Q10874184,2,0,2,0.0,2,0,0,3.0,China Railway train service,China Railway train service,China Railway train service
Q108788952,14,4,10,28.57,3,0,0,1.6,ethnic group by residency,ethnic group by residency,этническая группа на территории
Q108822533,2,0,2,0.0,2,1,0,4.0,border river,border river,пограничная река
Q1088552,1,0,1,0.0,0,0,0,1.0,Catholic church building,костел,костёл
Q109607,2,2,0,100.0,0,0,0,,,,
Q109623729,13,13,0,100.0,0,0,0,,,,
Q1097949,1,1,0,100.0,0,0,0,,,,
Q11032,25,10,15,40.0,1,0,0,1.07,newspaper,газет,газета
Q11033,2,0,2,0.0,0,0,0,1.0,mass media,бұқаралық ақпарат құралы,средство массовой информации
Q110548223,1,0,1,0.0,1,0,0,2.0,proposed legislation,proposed legislation,предлагаемый законодательный акт
Q110706912,1,1,0,100.0,0,0,0,,,,
Q11086064,3,0,3,0.0,2,2,2,7.33,total solar eclipse,total solar eclipse,полное солнечное затмение
Q1110684,1,1,0,100.0,0,0,0,,,,
Q11166728,1,1,0,100.0,0,0,0,,,,
Q11187131,10,0,10,0.0,10,0,0,3.0,2015 World Judo Championships,Дзюдодан әлем чемпионаты 2015,Чемпионат мира по дзюдо 2015
Q11197007,1,1,0,100.0,0,0,0,,,,
Q11204,3,3,0,100.0,0,0,0,,,,
Q112128334,70,66,4,94.29,3,1,0,3.25,protected area of Kazakhstan of republican significance,protected area of Kazakhstan of republican significance,особо охраняемая природная территория республиканского значения Казахстана
Q11223998,1,0,1,0.0,1,0,0,3.0,IJF World Tour,IJF World Tour,IJF World Tour
Q112537478,6,6,0,100.0,0,0,0,,,,
Q1128637,1,1,0,100.0,0,0,0,,,,
Q112876,1,0,1,0.0,0,0,0,1.0,pine barrens,Шоқ қарағай,бор
Q1129474,1,1,0,100.0,0,0,0,,,,
Q11303,2,1,1,50.0,1,0,0,3.0,skyscraper,Көктіреген,небоскрёб
Q113065939,1,0,1,0.0,1,0,0,3.0,Embassy of the United States,Embassy of the United States,посольство США
Q1131329,1,1,0,100.0,0,0,0,,,,
Q11315,10,2,8,20.0,3,0,0,1.62,shopping center,сауда орталығы,торговый центр
Q113254938,1,0,1,0.0,1,1,0,5.0,spacecraft fleet,spacecraft fleet,Космический флот
Q113455515,1,1,0,100.0,0,0,0,,,,
Q11362251,1,0,1,0.0,1,0,0,3.0,World Judo Cadets Championships,World Judo Cadets Championships,World Judo Cadets Championships
Q11362400,2,0,2,0.0,2,0,0,2.0,World Team Judo Championships,World Team Judo Championships,World Team Judo Championships
Q113681824,1,0,1,0.0,1,1,0,6.0,opencast mine,opencast mine,opencast mine
Q113988536,1,1,0,100.0,0,0,0,,,,
Q1140371,1,1,0,100.0,0,0,0,,,,
Q114055312,1,0,1,0.0,1,0,0,3.0,national baseball team,national baseball team,national baseball team
Q11410,2,2,0,100.0,0,0,0,,,,
Q1143635,1,1,0,100.0,0,0,0,,,,
Q11460,1,1,0,100.0,0,0,0,,,,
Q114609228,13,3,10,23.08,6,2,0,2.8,recurring sporting event edition,recurring sporting event edition,версия повторяющегося спортивного события
Q114782406,1,1,0,100.0,0,0,0,,,,
Q115135140,1,0,1,0.0,0,0,0,1.0,futsal competition,futsal competition,соревнование по футзалу
Q1153191,3,1,2,33.33,0,0,0,1.0,online newspaper,online newspaper,интернет-издание
Q115346835,3,1,2,33.33,2,2,2,45.5,temperate steppe,temperate steppe,temperate steppe
Q1154710,4,4,0,100.0,0,0,0,,,,
Q11572907,1,0,1,0.0,0,0,0,1.0,order of succession,order of succession,Престолонаследие
Q115839789,5,2,3,40.0,2,1,0,3.0,basketball club,basketball club,баскетбольный клуб
Q115857096,1,1,0,100.0,0,0,0,,,,
Q116597750,1,1,0,100.0,0,0,0,,,,
Q11670533,1,0,1,0.0,0,0,0,1.0,elevated station,elevated station,приподнятая станция
Q11691,2,2,0,100.0,0,0,0,,,,
Q116953048,1,0,1,0.0,0,0,0,1.0,beach soccer club,beach soccer club,пляжный футбольный клуб
Q11707,1,1,0,100.0,0,0,0,,,,
Q117086260,1,0,1,0.0,1,0,0,4.0,national field hockey team,national field hockey team,сборная по хоккею на траве
Q117103628,1,0,1,0.0,1,1,0,8.0,national water polo team,national water polo team,national water polo team
Q117819097,2,0,2,0.0,0,0,0,1.0,women's basketball club,women's basketball club,женский баскетбольный клуб
Q117819211,1,0,1,0.0,0,0,0,1.0,men's basketball club,men's basketball club,мужской баскетбольный клуб
Q117819338,2,1,1,50.0,0,0,0,1.0,women's volleyball club,women's volleyball club,женский волейбольный клуб
Q11783626,2,0,2,0.0,0,0,0,1.0,athletics meeting,athletics meeting,соревнование по лёгкой атлетике
Q11796413,2,2,0,100.0,0,0,0,,,,
Q1180262,1,1,0,100.0,0,0,0,,,,
Q11812394,11,10,1,90.91,0,0,0,1.0,theatre company,theatre company,театральная организация
Q1181413,3,2,1,66.67,0,0,0,1.0,palace of culture,palace of culture,дворец культуры
Q118188609,1,0,1,0.0,0,0,0,1.0,beach soccer competition,beach soccer competition,соревнование по пляжному футболу
Q11822917,1,1,0,100.0,0,0,0,,,,
Q11892333,1,0,1,0.0,1,0,0,2.0,freedom of speech by country,freedom of speech by country,freedom of speech by country
Q1190554,2,1,1,50.0,0,0,0,1.0,occurrence,occurrence,событие
Q1193236,1,0,1,0.0,1,1,1,14.0,news media,news media,новостные СМИ
Q119442487,1,0,1,0.0,1,0,0,2.0,Kazakhstan Future Series,Kazakhstan Future Series,Kazakhstan Future Series
Q1194951,5,0,5,0.0,3,0,0,1.6,national sports team,national sports team,сборная
Q1197685,8,7,1,87.5,1,0,0,4.0,public holiday,public holiday,государственный праздник
Q119942457,2,0,2,0.0,1,1,1,5.5,UCI Women's Continental Team,UCI Women's Continental Team,UCI Women's Continental Team
Q12018180,1,0,1,0.0,1,1,1,40.0,geomorphological system,geomorphological system,геоморфологическая система
Q12019965,2,2,0,100.0,0,0,0,,,,
Q12021235,2,2,0,100.0,0,0,0,,,,
Q12057459,1,1,0,100.0,0,0,0,,,,
Q12075102,1,1,0,100.0,0,0,0,,,,
Q12075477,1,1,0,100.0,0,0,0,,,,
Q120762068,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Women U23 ITT,Asian Road Cycling Championships - Women U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U23)
Q12079191,10,10,0,100.0,0,0,0,,,,
Q12091026,1,0,1,0.0,0,0,0,1.0,coal deposit,coal deposit,угольное месторождение
Q12104567,2,2,0,100.0,0,0,0,,,,
Q121182,1,0,1,0.0,0,0,0,1.0,information system,Ақпарат жүйесі,информационная система
Q12132769,3,2,1,66.67,0,0,0,1.0,oil and gas field,oil and gas field,нефтегазовое месторождение
Q12132780,1,0,1,0.0,0,0,0,1.0,oil and gas bearing province,oil and gas bearing province,нефтегазоносная провинция
Q12134916,1,1,0,100.0,0,0,0,,,,
Q12137573,1,1,0,100.0,0,0,0,,,,
Q12139612,1,1,0,100.0,0,0,0,,,,
Q12140,1,1,0,100.0,0,0,0,,,,
Q12149173,4,4,0,100.0,0,0,0,,,,
Q121556053,1,0,1,0.0,0,0,0,1.0,wrestling competition,wrestling competition,соревнования по борьбе
Q12160242,1,1,0,100.0,0,0,0,,,,
Q12164334,1,0,1,0.0,1,1,0,6.0,professional holiday of Ukraine,professional holiday of Ukraine,профессиональный праздник на Украине
Q12174444,2,2,0,100.0,0,0,0,,,,
Q12184,1,1,0,100.0,0,0,0,,,,
Q122329178,1,1,0,100.0,0,0,0,,,,
Q12266391,4,4,0,100.0,0,0,0,,,,
Q12280,4,2,2,50.0,0,0,0,1.0,bridge,көпір,мост
Q12280169,1,0,1,0.0,1,0,0,2.0,animal husbandry of an area,animal husbandry of an area,животноводство на территории
Q12284,34,12,22,35.29,3,1,0,1.32,canal,канал,канал
Q12308941,1,0,1,0.0,0,0,0,1.0,male given name,ер адамның жеке есімі,мужское личное имя
Q12323,20,4,16,20.0,1,1,0,1.25,dam,бөгет,плотина
Q123237442,1,0,1,0.0,1,0,0,4.0,sex trafficking by country or territory,sex trafficking by country or territory,sex trafficking by country or territory
Q123237961,1,1,0,100.0,0,0,0,,,,
Q12332021,1,1,0,100.0,0,0,0,,,,
Q123480,1,1,0,100.0,0,0,0,,,,
Q12353044,1,1,0,100.0,0,0,0,,,,
Q12357832,19,14,5,73.68,1,0,0,1.4,second-level administrative division,second-level administrative division,административная единица второго уровня
