qid,p31,has_kkwiki,relation_group,coverage_status
Q232,Q6256,1,P17_only,covered
Q232,Q123480,1,P17_only,covered
Q232,Q179164,1,P17_only,covered
Q232,Q3624078,1,P17_only,covered
Q232,Q140892892,1,P17_only,covered
Q9252,Q33742,1,P17_only,covered
Q9252,Q1288568,1,P17_only,covered
Q13389,Q33742,1,P17_only,covered
Q13389,Q34770,1,P17_only,covered
Q13389,Q1288568,1,P17_only,covered
Q33348,Q33742,1,P17_only,covered
Q33348,Q1288568,1,P17_only,covered
Q35493,Q515,1,P17+P131,covered
Q35493,Q12266391,1,P17+P131,covered
Q35493,Q51929311,1,P17+P131,covered
Q35493,Q129268952,1,P17+P131,covered
Q36156,Q836672,1,P17+P131,covered
Q61944,Q515,1,P17+P131,covered
Q61944,Q1549591,1,P17+P131,covered
Q61944,Q129725870,1,P17+P131,covered
Q80040,Q41710,1,P17_only,covered
Q162548,Q515,1,P17+P131,covered
Q162548,Q1549591,1,P17+P131,covered
Q162548,Q12134916,1,P17+P131,covered
Q162548,Q129725870,1,P17+P131,covered
Q173751,Q8142,1,P17_only,covered
Q186466,Q836672,1,P17+P131,covered
Q198989,Q515,1,P17+P131,covered
Q198989,Q1549591,1,P17+P131,covered
Q198989,Q129725870,1,P17+P131,covered
Q238931,Q836672,1,P17+P131,covered
Q312309,Q13406463,1,P17_only,covered
Q348950,Q772547,1,P17_only,covered
Q413579,Q481289,1,P17+P131,covered
Q427658,Q836672,1,P17+P131,covered
Q429649,Q3320743,1,P17_only,covered
Q477232,Q515,1,P17+P131,covered
Q477232,Q57831,1,P17+P131,covered
Q477232,Q1306755,1,P17+P131,covered
Q477232,Q1549591,1,P17+P131,covered
Q477232,Q129725870,1,P17+P131,covered
Q478309,Q6154783,1,P17_only,covered
Q478309,Q20638319,1,P17_only,covered
Q483236,Q57598,1,P17_only,covered
Q483236,Q1445650,1,P17_only,covered
Q483236,Q18369361,1,P17_only,covered
Q484706,Q515,1,P17+P131,covered
Q484706,Q1549591,1,P17+P131,covered
Q484706,Q129725870,1,P17+P131,covered
Q485056,Q836672,1,P17+P131,covered
Q485088,Q836672,1,P17+P131,covered
Q485322,Q836672,1,P17+P131,covered
Q485429,Q836672,1,P17+P131,covered
Q485437,Q836672,1,P17+P131,covered
Q485496,Q515,1,P17+P131,covered
Q485496,Q1549591,1,P17+P131,covered
Q485496,Q12266391,1,P17+P131,covered
Q485605,Q836672,1,P17+P131,covered
Q486007,Q836672,1,P17+P131,covered
Q486144,Q836672,1,P17+P131,covered
Q486282,Q515,1,P17+P131,covered
Q486282,Q1549591,1,P17+P131,covered
Q486282,Q129725870,1,P17+P131,covered
Q486545,Q902814,1,P17+P131,covered
Q486545,Q1549591,1,P17+P131,covered
Q486545,Q129725870,1,P17+P131,covered
Q486657,Q836672,1,P17+P131,covered
Q486913,Q515,1,P17+P131,covered
Q486913,Q1549591,1,P17+P131,covered
Q486913,Q129725870,1,P17+P131,covered
Q487439,Q515,1,P17+P131,covered
Q487439,Q1549591,1,P17+P131,covered
Q487439,Q129725870,1,P17+P131,covered
Q488379,Q1549591,1,P17+P131,covered
Q488379,Q129725870,1,P17+P131,covered
Q488990,Q1549591,1,P17+P131,covered
