p31,label_en,label_kk,label_ru,total_entities,covered_entities,missing_entities,coverage_pct,missing_pct
Q1002697,periodical,periodical,периодическое издание,1,1,0,100.0,0.0
Q100282728,,,,1,1,0,100.0,0.0
Q1003207,photovoltaic power station,Күн Электр Стансасы,Фотоэлектрическая солнечная электростанция,4,0,4,0.0,100.0
Q100773131,regional economy,regional economy,экономика региона,3,3,0,100.0,0.0
Q100786919,Almaty Open,Almaty Open,Открытый чемпионат Алма-Аты по теннису,2,0,2,0.0,100.0
Q1007870,,,,1,0,1,0.0,100.0
Q100900880,,,,1,1,0,100.0,0.0
Q101401,bell,Қоңырау,колокол,1,1,0,100.0,0.0
Q1021290,,,,1,0,1,0.0,100.0
Q102421356,national pavillon,national pavillon,national pavillon,1,0,1,0.0,100.0
Q102496,parish,parish,церковный приход,5,0,5,0.0,100.0
Q1029418,children's magazine,children's magazine,детский журнал,1,1,0,100.0,0.0
Q10313934,intermittent lake,intermittent lake,сезонное озеро,3,0,3,0.0,100.0
Q10354598,,,,21,21,0,100.0,0.0
Q10379048,health technology,health technology,санитарные технологии,1,0,1,0.0,100.0
Q104179424,national ice hockey team,national ice hockey team,национальная сборная по хоккею с шайбой,3,0,3,0.0,100.0
Q104666804,rail transport by country or region,rail transport by country or region,железнодорожный транспорт по стране или региону,2,0,2,0.0,100.0
Q1047180,air defense force,Құрлықтағы әскердің әуе шабуылына қарсы қорғаныс әскерлері,Войска противовоздушной обороны,1,1,0,100.0,0.0
Q1047879,Public Notary,нотариат,нотариат,1,1,0,100.0,0.0
Q1049757,,,,3,3,0,100.0,0.0
Q10517054,handball team,handball team,гандбольная команда,2,1,1,50.0,50.0
Q105390172,Roman Catholic metropolitan archdiocese,Roman Catholic metropolitan archdiocese,римско-католическая митрополия-архиепископия,1,0,1,0.0,100.0
Q10541491,legal form,legal form,правовая форма,1,0,1,0.0,100.0
Q105543609,musical work/composition,musical work/composition,музыкальное произведение/композиция,1,1,0,100.0,0.0
Q1057026,cargo airline,cargo airline,грузовая авиакомпания,1,0,1,0.0,100.0
Q105723968,,,,1,1,0,100.0,0.0
