qid,in_p17,in_p131,relation_group,has_kkwiki
Q16432981,1,0,P17_only,1
Q27430700,1,0,P17_only,0
Q16433272,1,0,P17_only,1
Q16713696,1,1,P17+P131,1
Q13645598,1,1,P17+P131,1
Q16710222,1,1,P17+P131,0
Q18405135,1,1,P17+P131,1
Q16431557,1,0,P17_only,1
Q1047741,1,1,P17+P131,1
Q16721244,1,1,P17+P131,1
Q97214739,1,0,P17_only,1
Q32183218,1,0,P17_only,0
Q18409295,1,1,P17+P131,1
Q16700969,1,1,P17+P131,1
Q112113718,1,0,P17_only,0
Q740666,1,0,P17_only,1
Q2466404,1,1,P17+P131,1
Q16685601,1,1,P17+P131,1
Q25506914,1,0,P17_only,1
Q32204451,1,0,P17_only,0
Q13641678,1,1,P17+P131,1
Q16672297,1,1,P17+P131,0
Q27357185,1,0,P17_only,0
Q16689892,1,1,P17+P131,1
Q27354944,1,0,P17_only,0
Q135829284,1,0,P17_only,0
Q112113769,1,0,P17_only,0
Q86754120,1,0,P17_only,0
Q25395442,1,1,P17+P131,1
Q140001284,1,1,P17+P131,0
Q12576478,1,1,P17+P131,1
Q14954503,1,1,P17+P131,0
Q12554244,1,0,P17_only,1
Q129880638,1,0,P17_only,1
Q111297057,1,0,P17_only,0
Q32194500,1,0,P17_only,0
Q32219478,1,0,P17_only,0
Q32194788,1,1,P17+P131,0
Q32212208,1,0,P17_only,0
Q16432195,1,0,P17_only,1
Q10896619,1,1,P17+P131,1
Q12527245,1,1,P17+P131,1
Q112003964,1,1,P17+P131,0
Q21659282,1,0,P17_only,1
Q48947440,1,0,P17_only,1
Q12564088,1,1,P17+P131,1
Q65253200,1,0,P17_only,1
Q12533832,1,1,P17+P131,1
Q13643451,1,1,P17+P131,1
Q32196278,1,0,P17_only,0
Q13643428,1,1,P17+P131,1
Q32187505,1,0,P17_only,0
Q32190583,1,0,P17_only,0
Q118352566,1,0,P17_only,0
Q16433606,1,0,P17_only,1
Q17125108,1,1,P17+P131,1
Q12535351,1,0,P17_only,1
Q65256504,1,0,P17_only,0
Q12550501,1,0,P17_only,1
Q16701797,1,1,P17+P131,0
Q13647353,1,1,P17+P131,1
Q112003986,1,0,P17_only,0
Q32204527,1,0,P17_only,0
Q108533883,1,0,P17_only,0
Q2102630,1,0,P17_only,0
Q85735543,1,0,P17_only,0
Q18405635,1,1,P17+P131,1
Q410219,1,0,P17_only,1
