page_id,title,is_redirect,is_disambiguation,qid,length_chars,words,references,images,internal_links,categories
1030,Қазақстан,0,0,Q232,54613,7541,40,25,279,2
1032,Шымкент,0,0,Q485496,27691,2859,22,7,117,3
1033,Ресей,0,0,Q159,53695,6235,33,12,350,2
1034,Қытай,0,0,Q148,32265,3885,13,4,176,1
1035,Қырғызстан,0,0,Q813,52331,5695,42,16,302,2
1036,Өзбекстан,0,0,Q265,40123,4234,16,7,291,2
1039,Қазақ Кеңестік Социалистік Республикасы,0,0,Q168811,36463,5764,0,0,63,2
1041,Гагра,0,0,Q44811,662,49,0,1,3,2
1471,Қарағанды,0,0,Q484706,18932,2232,14,1,31,1
1479,Барыс (жануар),0,0,Q30197,7554,896,4,1,73,2
1575,Түрікменстан,0,0,Q874,36019,3300,61,6,167,2
1649,Қазақстан қалалары,0,0,Q312309,6088,862,2,2,94,2
1650,Ақмола облысы,0,0,Q485056,34301,4278,13,1,93,1
1652,Алматы облысы,0,0,Q186466,41537,4865,21,9,259,1
1654,Ақтөбе облысы,0,0,Q485437,14930,1859,8,1,116,1
1656,Атырау облысы,0,0,Q427658,50860,5789,31,23,285,1
1658,Батыс Қазақстан облысы,0,0,Q486007,22034,2586,7,0,265,1
1660,Жамбыл облысы,0,0,Q486657,24450,2853,9,4,149,1
1662,Қарағанды облысы,0,0,Q485429,54840,6550,8,0,262,1
1664,Қостанай облысы,0,0,Q485605,25151,2868,6,3,300,1
1666,Қызылорда облысы,0,0,Q485322,21313,2526,12,4,225,1
1668,Маңғыстау облысы,0,0,Q238931,42656,5445,11,4,220,1
1670,Түркістан облысы,0,0,Q815330,24247,2934,8,6,81,1
1672,Павлодар облысы,0,0,Q486144,77971,9207,17,12,264,1
1674,Солтүстік Қазақстан облысы,0,0,Q485088,19043,2402,5,0,111,1
1676,Шығыс Қазақстан облысы,0,0,Q36156,40984,4740,6,21,263,3
1703,Ясы,0,0,Q12572303,4494,597,0,0,2,2
1705,Қазақтың саз аспаптары,0,0,Q18888060,8059,963,1,0,45,2
1709,Үндістан,0,0,Q668,50886,5978,9,4,455,1
1716,Қазақ тілі,0,0,Q9252,14270,1659,4,0,93,4
1719,Тәжікстан,0,0,Q863,40384,5025,13,8,384,2
1720,Армения,0,0,Q399,13891,1511,9,1,132,2
1721,Әзербайжан,0,0,Q227,17660,1895,15,3,164,3
1723,Грузия,0,0,Q230,25207,2113,30,1,147,2
1724,Молдова,0,0,Q217,18452,2123,7,3,138,2
1725,Украина,0,0,Q212,88558,7924,134,42,587,2
1727,Абай Құнанбайұлы,0,0,Q304890,54444,6618,13,8,222,6
1736,Еуропа,0,0,Q46,20355,2401,4,4,259,2
1789,Терісқақпай (Құрманғазының күйі),0,0,Q16436702,672,56,0,0,3,2
1810,Қазақ Ордасының жылнамасы,0,0,Q12572812,11785,1537,0,0,261,1
1815,Баян-Өлгей аймағы,0,0,Q191792,9004,1039,2,1,70,2
1816,Іле Қазақ автономиялық облысы,0,0,Q848127,21920,2622,5,2,75,1
1834,Дауыссыз дыбыстар,0,0,Q38035,2236,325,3,0,8,1
