creator,articles,pct_of_corpus
BolatbekBot,107767,44.09
Мықтыбек Оразтайұлы,8211,3.36
Kia content bot,7726,3.16
Салиха,7379,3.02
NurbekBot,3113,1.27
Мағыпар,2654,1.09
Ерден Карсыбеков,2330,0.95
SSE,2173,0.89
Meruyert,1921,0.79
Maira Yessenbekova,1737,0.71
Polat Alemdar,1707,0.7
Dinkaz,1576,0.64
Yerzhankyzy,1380,0.56
Alamgir,1355,0.55
Hardworking,1351,0.55
Орел Карл,1345,0.55
Abdi arman,1334,0.55
Aitan bot,1317,0.54
Bolatbek,1304,0.53
Toktakynbaev,1274,0.52
Gulzat246,1269,0.52
Zhuka iitu,1190,0.49
Zhigitbek,1165,0.48
Bauka91 91,1164,0.48
GanS NIS,1079,0.44
Ulan,1065,0.44
AlefZet,993,0.41
Nurkhan,979,0.4
BekaIITU,971,0.4
Aizhanka aaa,962,0.39
Aghia7,953,0.39
2rk,920,0.38
G55,909,0.37
82.200.154.115,868,0.36
Kaiyr,867,0.35
Bakdauren,865,0.35
Egorkz,855,0.35
Rasulzhan,839,0.34
Ayauly,839,0.34
Ismukhammed,815,0.33
Ordabekov Azamat,766,0.31
Kyrmyzy gul,749,0.31
Merey,734,0.3
Araichik,629,0.26
DinDK,605,0.25
1nter pares,599,0.25
Nelli,578,0.24
Нурасылл,557,0.23
Нұрлан Рахымжанов,534,0.22
Casserium,532,0.22
Azim Nurbergen,531,0.22
Sagzhan,527,0.22
Dauren,526,0.22
Nurken,521,0.21
Zhaksilik,516,0.21
GulzhanOmarova,508,0.21
Masalbaeva,507,0.21
Аян Жанайсов,489,0.2
P.Nurgisa,474,0.19
Daneker,468,0.19
Inkar,452,0.18
Nick jan,448,0.18
Аскаров,443,0.18
Malbakov Korkem Shamshievih,437,0.18
TheNomadEditor,425,0.17
Sergazyyev,420,0.17
Акбота Казыбекова,407,0.17
Bailarbekov,407,0.17
Ashina,387,0.16
Abdrazakhova a,383,0.16
Tulya,380,0.16
Касымхан,377,0.15
Stella~kkwiki,372,0.15
Mariko,368,0.15
Аязбаев Даурен,356,0.15
Амзе Магжан,355,0.15
Wikiped4ik,355,0.15
Madina Kilybayeva,350,0.14
Akbota.b,344,0.14
TalgatSnow,340,0.14
Erboldilyara,337,0.14
Makhanov,334,0.14
Batyrbek.kz,317,0.13
Btalgat,304,0.12
Murager Seraly,304,0.12
Alphy Haydar,303,0.12
Olkikz,299,0.12
Alfiya,299,0.12
AnelK NIS,279,0.11
Нақып Нұрғали,272,0.11
Esetok,271,0.11
Shynbolat,263,0.11
Panicgirl,262,0.11
Rayurad mc,261,0.11
Kas77777,260,0.11
Капысова Айдана,252,0.1
Mary,247,0.1
Liquorkaru,241,0.1
Rake,240,0.1
Orkaarys,239,0.1
Amangeldi Mukhamejan,232,0.09
Sazhlo,226,0.09
Eranz,224,0.09
Gulnar7,224,0.09
Ergalym,223,0.09
Магпар,221,0.09
Rasul kz91,219,0.09
Andrey 1002,218,0.09
KoishymanovaG,217,0.09
Ардак Нурмаханова,217,0.09
Belekov Syrym,216,0.09
Shymnis 7b dayana,210,0.09
ShadZ01,210,0.09
AkaMasteR,207,0.08
Dauylbai Aidar,205,0.08
Coffee86,203,0.08
Aimanber,199,0.08
Isslam,199,0.08
Баха,199,0.08
Jess from GS,198,0.08
Adiladil,196,0.08
Yessenbay,195,0.08
Sabinabekkulnis,194,0.08
Qozha,192,0.08
GaiJin,191,0.08
Yerlik,187,0.08
Нурия,187,0.08
Абдухамитова Асем,183,0.07
Alukaaika,182,0.07
Sultan bek,178,0.07
Syrymzhan,177,0.07
Qarakesek,176,0.07
Балнұр Сүгірәлиева,172,0.07
Айдос уики,169,0.07
Bakbergenov,167,0.07
Badyroff,165,0.07
Mista m,165,0.07
Ekontai,160,0.07
Giovani90,157,0.06
Оразгелді Гүлмира,157,0.06
Aibol dos,156,0.06
Daniyar,153,0.06
Аскар,153,0.06
Мұқтар Құндыз,151,0.06
Dinarakukenova,151,0.06
Ali.otkelbayev,150,0.06
Almat IS106R,148,0.06
Arystanbek,147,0.06
Еркін Мадина,147,0.06
Zhumabayeva Aiym,147,0.06
Tursinay,146,0.06
Akba.nis.13,144,0.06
Anvar1101,144,0.06
Тұран,143,0.06
Asslan best,142,0.06
