qid,p31
Q16,Q6256
Q16,Q3624078
Q17,Q6256
Q17,Q112099
Q17,Q3624078
Q20,Q6256
Q20,Q3624078
Q27,Q6256
Q27,Q112099
Q27,Q3624078
Q27,Q127693126
Q28,Q6256
Q28,Q123480
Q28,Q3624078
Q28,Q127693126
Q29,Q6256
Q29,Q179671
Q29,Q1250464
Q29,Q3624078
Q29,Q51576574
Q31,Q6256
Q31,Q3624078
Q33,Q6256
Q33,Q179164
Q33,Q3624078
Q33,Q63791824
Q34,Q6256
Q34,Q41614
Q34,Q179164
Q34,Q3624078
Q34,Q63791824
Q35,Q6256
Q35,Q7275
Q35,Q20181813
Q35,Q63791824
Q35,Q66724388
Q36,Q6256
Q36,Q3624078
Q37,Q6256
Q37,Q179164
Q37,Q3624078
Q37,Q63791824
Q38,Q6256
Q38,Q3624078
Q39,Q6256
Q39,Q7275
Q39,Q43702
Q39,Q123480
Q39,Q170156
Q39,Q3624078
Q41,Q6256
Q41,Q3624078
Q43,Q6256
Q43,Q339834
Q43,Q619610
Q43,Q859563
Q43,Q1323642
Q43,Q3624078
Q43,Q51576574
Q43,Q127693126
Q45,Q6256
Q45,Q3624078
Q46,Q5107
Q46,Q2418896
Q52,Q33120876
Q59,Q899523
Q59,Q1993334
Q59,Q12772052
Q60,Q515
Q60,Q174844
Q60,Q200250
Q60,Q208511
Q60,Q1093829
Q60,Q1549591
Q60,Q2264924
Q60,Q15063611
Q60,Q51929311
Q77,Q6256
Q77,Q859563
Q77,Q1520223
Q77,Q3624078
Q79,Q6256
Q79,Q1323642
Q79,Q3624078
Q79,Q51576574
Q108,Q47018901
Q109,Q47018901
Q110,Q47018901
Q114,Q6256
Q114,Q3624078
Q118,Q47018901
Q119,Q47018901
Q120,Q47018901
Q121,Q47018901
Q122,Q47018901
Q123,Q47018901
Q124,Q47018901
Q125,Q47018901
Q126,Q47018901
Q142,Q6256
Q142,Q7270
Q142,Q3624078
Q145,Q6256
Q145,Q112099
Q145,Q3624078
Q145,Q20181813
Q148,Q6256
Q148,Q3624078
Q155,Q6256
Q155,Q859563
Q155,Q3624078
Q159,Q6256
Q159,Q859563
Q159,Q1323642
Q159,Q3624078
Q159,Q127693126
Q183,Q6256
Q183,Q3624078
Q184,Q6256
Q184,Q123480
Q184,Q179164
