p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q1000660,1,114.0,114.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1001051,1,34.0,34.0,1.0,1.0,0.0,0.0,2.0,2.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1001378,1,200.0,200.0,1.0,1.0,2.0,2.0,7.0,7.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q100151658,8,397.5,365.12,1.0,1.25,0.0,0.75,4.0,18.25,2,5,3,1,1,,,,25.0,62.5,37.5,12.5,12.5
Q100195948,4,166.5,173.0,1.5,2.0,0.0,0.5,6.0,5.5,0,3,3,0,0,,,,0.0,75.0,75.0,0.0,0.0
Q1002697,26,125.5,194.04,1.0,1.62,0.0,0.19,7.5,11.92,4,21,20,4,3,periodical,periodical,периодическое издание,15.38,80.77,76.92,15.38,11.54
Q100280511,1,32.0,32.0,0.0,0.0,1.0,1.0,11.0,11.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q100282728,1,129.0,129.0,2.0,2.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q100320664,1,390.0,390.0,4.0,4.0,0.0,0.0,18.0,18.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q100324353,1,972.0,972.0,1.0,1.0,6.0,6.0,15.0,15.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100341898,304,313.0,313.62,1.0,0.95,0.0,0.07,8.0,7.88,14,284,0,0,0,,,,4.61,93.42,0.0,0.0,0.0
Q100343219,2,305.5,305.5,3.0,3.0,0.0,0.0,9.0,9.0,0,2,1,0,0,,,,0.0,100.0,50.0,0.0,0.0
Q100349043,1,54.0,54.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q100434640,21,145.0,246.67,1.0,1.33,1.0,0.81,6.0,7.52,3,9,16,2,1,,,,14.29,42.86,76.19,9.52,4.76
Q1004415,1,81.0,81.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1004875,1,940.0,940.0,12.0,12.0,3.0,3.0,38.0,38.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100546947,1,227.0,227.0,0.0,0.0,1.0,1.0,23.0,23.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q100589423,1,353.0,353.0,2.0,2.0,0.0,0.0,32.0,32.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1006311,5,965.0,1749.0,0.0,1.2,1.0,1.2,71.0,110.4,3,2,2,2,1,,,,60.0,40.0,40.0,40.0,20.0
Q1006644,1,1384.0,1384.0,3.0,3.0,1.0,1.0,41.0,41.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100707163,2,924.5,924.5,6.5,6.5,0.5,0.5,119.0,119.0,1,1,1,1,1,,,,50.0,50.0,50.0,50.0,50.0
Q100709275,2,838.5,838.5,2.0,2.0,1.5,1.5,24.0,24.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100710213,18,142.0,295.0,0.5,0.56,1.0,0.56,3.0,5.67,9,8,13,7,4,,,,50.0,44.44,72.22,38.89,22.22
Q100724091,8,218.0,216.0,2.0,2.88,0.5,0.5,8.0,8.88,0,4,5,0,0,,,,0.0,50.0,62.5,0.0,0.0
Q1007356,1,2435.0,2435.0,10.0,10.0,2.0,2.0,130.0,130.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100744571,1,201.0,201.0,0.0,0.0,0.0,0.0,3.0,3.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q100773131,9,2056.0,2319.22,6.0,15.22,1.0,4.22,35.0,42.78,0,4,0,0,0,regional economy,regional economy,экономика региона,0.0,44.44,0.0,0.0,0.0
Q1008803,1,533.0,533.0,7.0,7.0,2.0,2.0,38.0,38.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100900880,2,247.0,247.0,2.5,2.5,3.0,3.0,3.0,3.0,1,1,1,1,1,,,,50.0,50.0,50.0,50.0,50.0
Q100906234,3,573.0,890.33,1.0,1.0,0.0,0.33,56.0,44.33,1,2,0,0,0,,,,33.33,66.67,0.0,0.0,0.0
Q100912473,4,68.5,66.0,1.0,1.25,0.0,0.25,4.0,4.0,0,3,4,0,0,,,,0.0,75.0,100.0,0.0,0.0
Q1009249,2,226.5,226.5,1.0,1.0,0.5,0.5,30.5,30.5,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q101038,1,62.0,62.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q101063310,1,1548.0,1548.0,25.0,25.0,1.0,1.0,76.0,76.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q101072,3,37.0,41.0,1.0,1.33,0.0,0.0,2.0,4.0,0,3,3,0,0,,,,0.0,100.0,100.0,0.0,0.0
