model,p31_label,sum_covered,sum_missing,count_covered,count_missing,pct_covered,pct_missing,diff_pp
GPT-5.6 Terra,lake,3.0,2.0,27.0,27.0,11.11111111111111,7.4074074074074066,3.703703703703704
GPT-5.6 Terra,mountain,8.0,6.0,18.0,18.0,44.44444444444444,33.33333333333333,11.111111111111114
GPT-5.6 Terra,river,10.0,3.0,28.0,28.0,35.714285714285715,10.714285714285714,25.0
GPT-5.6 Terra,sports season,18.0,23.0,30.0,30.0,60.0,76.66666666666667,-16.66666666666667
GPT-5.6 Terra,village of Kazakhstan,1.0,1.0,23.0,23.0,4.3478260869565215,4.3478260869565215,0.0
Gemini 3.6 Flash,lake,3.0,4.0,27.0,27.0,11.11111111111111,14.814814814814813,-3.7037037037037024
Gemini 3.6 Flash,mountain,13.0,9.0,18.0,18.0,72.22222222222221,50.0,22.222222222222214
Gemini 3.6 Flash,river,13.0,8.0,28.0,28.0,46.42857142857143,28.57142857142857,17.85714285714286
Gemini 3.6 Flash,sports season,24.0,27.0,30.0,30.0,80.0,90.0,-10.0
Gemini 3.6 Flash,village of Kazakhstan,1.0,5.0,23.0,23.0,4.3478260869565215,21.73913043478261,-17.391304347826086
